nombre,clase,split,n_vertices,n_caras,t_preproceso_ms,t_muestreo_ms,t_total_ms,t_total_denso_ms,t_total_experimento_ms,t_arbol_32_ms,t_guardado_32_ms,t_denso_directo_32_ms,t_guardado_denso_32_ms,nodos_totales_32,hojas_ocupadas_32,ocup_hoja_pct_32,tam_npz_disperso_kib_32,tam_npz_denso_kib_32,factor_reduccion_almacenamiento_32,t_arbol_64_ms,t_guardado_64_ms,t_denso_directo_64_ms,t_guardado_denso_64_ms,nodos_totales_64,hojas_ocupadas_64,ocup_hoja_pct_64,tam_npz_disperso_kib_64,tam_npz_denso_kib_64,factor_reduccion_almacenamiento_64
airplane_0007,airplane,train,9038,13252,16.997,8.714,142.139,71.487,187.916,30.457,2.662,6.456,3.507,629,443,1.3519,6.427,7.892,1.228,79.102,4.208,19.53,16.284,2477,1848,0.705,21.342,32.156,1.507
airplane_0005,airplane,train,17443,17116,28.324,9.741,175.476,91.889,229.3,33.45,3.107,6.289,3.258,707,505,1.5411,6.09,7.519,1.235,94.243,6.611,27.912,16.365,2689,1982,0.7561,16.36,26.671,1.63
airplane_0006,airplane,train,25274,32304,42.649,13.7,182.232,103.108,228.99,32.386,2.665,6.718,3.404,619,400,1.2207,5.928,7.523,1.269,86.521,4.31,21.459,15.177,2377,1758,0.6706,19.844,30.896,1.557
airplane_0003,airplane,train,42472,44580,60.329,16.299,215.173,123.885,262.43,33.511,2.617,6.061,3.424,742,534,1.6296,7.479,9.216,1.232,97.784,4.633,22.025,15.747,2927,2185,0.8335,25.042,36.676,1.465
airplane_0004,airplane,train,58194,75957,92.299,25.358,233.869,163.133,279.345,30.182,2.759,6.475,3.438,592,407,1.2421,6.094,7.58,1.244,78.954,4.317,20.097,15.466,2225,1633,0.6229,20.067,30.021,1.496
airplane_0010,airplane,train,34419,39805,58.269,15.068,197.003,118.905,242.571,32.574,2.525,6.325,3.273,715,508,1.5503,7.298,9.014,1.235,84.334,4.233,20.858,15.112,2726,2011,0.7671,24.229,35.406,1.461
airplane_0008,airplane,train,38216,49360,58.654,19.395,217.857,122.73,262.538,36.276,2.426,3.841,3.347,732,516,1.5747,7.337,8.987,1.225,96.381,4.725,23.252,14.241,2744,2012,0.7675,24.297,35.561,1.464
airplane_0009,airplane,train,42109,42888,55.965,16.857,216.896,114.667,258.741,36.891,3.698,6.232,3.131,802,583,1.7792,8.034,10.073,1.254,99.392,4.093,18.035,14.447,2946,2144,0.8179,23.653,36.233,1.532
airplane_0002,airplane,train,94335,118614,140.806,37.422,282.471,219.885,324.128,24.358,2.479,5.83,3.324,645,454,1.3855,6.576,8.309,1.263,73.754,3.652,19.008,13.495,2319,1674,0.6386,20.611,31.18,1.513
airplane_0001,airplane,train,90714,104773,147.281,33.71,320.408,220.196,359.613,40.28,3.656,6.886,3.702,1004,739,2.2552,9.42,11.671,1.239,91.203,4.278,15.422,13.195,3851,2847,1.086,30.697,45.471,1.481
airplane_0017,airplane,train,9084,13988,11.379,8.786,164.066,68.482,212.382,27.473,2.793,4.001,2.775,789,571,1.7426,7.159,8.872,1.239,106.68,6.954,26.685,14.855,3355,2566,0.9789,21.432,33.701,1.572
airplane_0014,airplane,train,28954,29272,37.941,9.063,190.612,95.343,238.951,36.522,3.233,3.933,3.441,751,530,1.6174,7.336,8.872,1.209,99.223,4.63,25.085,15.88,2710,1959,0.7473,21.207,31.533,1.487
airplane_0019,airplane,train,43870,57164,61.033,15.103,191.019,124.111,238.993,31.655,2.195,6.386,3.042,754,538,1.6418,7.631,9.361,1.227,75.942,5.09,21.99,16.556,2726,1972,0.7523,23.87,35.135,1.472
airplane_0011,airplane,train,53983,59156,83.62,22.516,212.816,163.586,270.266,32.22,2.525,6.731,3.353,649,454,1.3855,6.646,8.2,1.234,66.514,5.421,29.337,18.029,2347,1698,0.6477,21.37,32.571,1.524
airplane_0013,airplane,train,26538,31650,36.267,11.587,220.891,97.421,270.458,38.464,2.49,4.982,3.548,922,663,2.0233,8.753,10.588,1.21,125.372,6.711,22.933,18.104,3566,2644,1.0086,27.891,39.917,1.431
airplane_0012,airplane,train,59690,60559,73.688,19.453,217.599,150.264,274.721,28.39,2.52,5.656,2.854,743,531,1.6205,7.49,9.229,1.232,88.559,4.988,31.256,17.356,2711,1968,0.7507,22.977,35.093,1.527
airplane_0018,airplane,train,58396,62913,81.163,21.965,226.226,153.235,276.333,38.086,2.006,3.679,2.606,791,578,1.7639,7.939,9.806,1.235,78.197,4.809,27.55,16.272,2902,2111,0.8053,24.842,36.297,1.461
airplane_0016,airplane,train,21522,25542,38.874,12.511,229.041,105.339,282.994,44.444,2.885,6.968,3.587,983,706,2.1545,9.131,11.089,1.214,124.252,6.074,26.008,17.39,3672,2689,1.0258,26.03,39.212,1.506
airplane_0015,airplane,train,139269,143864,176.354,37.745,325.196,266.988,378.085,28.275,2.361,6.232,4.526,588,407,1.2421,6.076,7.345,1.209,75.137,5.324,25.174,16.957,2201,1613,0.6153,19.823,29.422,1.484
airplane_0028,airplane,train,2486,3436,4.467,5.688,74.279,62.816,126.94,14.597,2.214,7.581,3.449,290,183,0.5585,3.405,4.117,1.209,44.105,3.208,25.747,15.884,910,620,0.2365,8.551,15.071,1.763
airplane_0020,airplane,train,145814,228484,252.894,61.871,434.792,358.095,478.122,33.283,2.177,4.014,3.044,707,498,1.5198,7.134,8.915,1.25,80.616,3.951,19.771,16.501,2568,1861,0.7099,22.853,34.353,1.503
airplane_0021,airplane,train,71320,80237,99.641,24.418,245.432,175.462,296.835,31.073,2.818,6.171,3.199,719,521,1.59,7.394,9.077,1.228,82.176,5.306,25.831,16.202,2731,2012,0.7675,23.987,35.456,1.478
airplane_0023,airplane,train,51750,63004,76.879,22.677,234.738,154.168,289.35,27.492,2.65,6.418,3.358,787,552,1.6846,7.86,9.674,1.231,98.528,6.512,28.135,16.701,2951,2164,0.8255,26.727,38.851,1.454
airplane_0027,airplane,train,54211,56702,74.904,21.82,222.361,150.223,275.86,31.368,3.058,6.204,3.409,700,495,1.5106,7.101,8.624,1.215,87.101,4.11,25.662,18.224,2422,1722,0.6569,21.191,31.226,1.474
airplane_0025,airplane,train,60256,74047,90.172,27.113,261.866,166.092,310.672,37.917,2.879,4.203,3.506,779,540,1.6479,7.713,9.399,1.219,97.046,6.738,23.329,17.768,2832,2053,0.7832,25.25,36.897,1.461
airplane_0026,airplane,train,44805,58413,68.846,18.678,261.529,133.866,307.871,36.043,3.431,3.885,3.966,906,653,1.9928,9.014,11.056,1.227,126.9,7.631,20.579,17.912,3475,2569,0.98,31.67,45.082,1.423
airplane_0024,airplane,train,88869,109060,126.085,30.862,290.188,202.065,335.305,32.492,2.754,6.798,3.451,686,483,1.474,6.885,8.551,1.242,91.96,6.034,19.918,14.95,2432,1746,0.666,20.989,31.424,1.497
airplane_0022,airplane,train,96355,109769,140.02,35.322,363.651,226.177,414.486,37.1,3.953,6.478,3.561,1111,819,2.4994,10.741,13.037,1.214,139.718,7.538,24.278,16.518,4259,3148,1.2009,35.809,50.609,1.413
airplane_0029,airplane,train,52024,59527,89.522,21.713,245.214,160.582,294.561,36.2,2.76,4.669,3.309,682,481,1.4679,6.995,8.429,1.205,89.781,5.238,24.272,17.097,2455,1773,0.6763,22.084,32.441,1.469
airplane_0030,airplane,train,17756,22619,28.501,11.912,227.707,90.246,277.54,44.024,3.217,6.059,3.637,903,673,2.0538,9.161,10.92,1.192,133.142,6.911,24.649,15.488,3871,2968,1.1322,35.426,48.771,1.377
airplane_0031,airplane,train,6671,6226,9.832,7.327,184.085,76.094,243.021,41.203,2.977,4.544,3.276,936,681,2.0782,9.288,11.053,1.19,115.189,7.558,28.071,23.045,3738,2802,1.0689,30.449,43.326,1.423
airplane_0032,airplane,train,5683,8231,12.077,7.083,170.979,77.389,229.208,39.171,3.358,5.218,3.558,744,541,1.651,7.108,8.512,1.197,103.676,5.614,28.681,20.772,2839,2095,0.7992,20.396,31.12,1.526
airplane_0033,airplane,train,60507,64851,81.658,24.528,228.913,161.261,283.988,21.442,2.08,5.869,3.355,505,342,1.0437,5.327,6.464,1.213,92.792,6.413,28.835,17.016,1831,1326,0.5058,16.591,25.71,1.55
airplane_0034,airplane,train,25390,27397,39.48,8.328,217.467,98.623,268.282,34.703,3.204,4.489,3.222,809,586,1.7883,8.002,9.735,1.217,124.612,7.14,25.63,17.474,3159,2350,0.8965,25.904,37.785,1.459
airplane_0041,airplane,train,21217,23619,34.708,14.717,109.646,105.13,165.351,16.945,1.775,6.647,3.661,232,138,0.4211,2.86,3.376,1.18,38.636,2.865,28.333,17.064,764,532,0.2029,7.461,13.291,1.781
airplane_0035,airplane,train,65250,70189,94.043,28.254,253.21,175.111,306.023,41.517,3.71,6.003,5.44,543,372,1.1353,5.635,6.892,1.223,80.777,4.908,23.986,17.384,2012,1469,0.5604,18.466,27.955,1.514
airplane_0038,airplane,train,6367,8322,8.937,7.207,229.183,73.896,286.935,51.453,4.428,5.557,4.22,978,722,2.2034,9.739,11.792,1.211,148.798,8.36,27.224,20.751,3933,2955,1.1272,32.501,47.267,1.454
airplane_0040,airplane,train,33936,40796,55.624,20.61,206.0,133.647,263.413,37.647,3.045,5.623,3.266,672,474,1.4465,6.836,8.206,1.2,84.411,4.663,28.897,19.627,2290,1618,0.6172,19.74,29.612,1.5
airplane_0039,airplane,train,61133,61138,94.075,23.048,307.385,164.307,354.569,40.648,2.734,5.744,3.041,940,675,2.0599,9.306,11.195,1.203,142.221,4.659,21.964,16.435,3559,2619,0.9991,31.87,44.838,1.407
airplane_0042,airplane,train,9637,12526,13.802,9.161,245.23,67.266,289.533,49.56,2.938,6.444,3.404,972,734,2.24,7.435,8.97,1.206,162.3,7.469,20.262,14.193,4148,3176,1.2115,19.386,29.244,1.509
airplane_0043,airplane,train,56329,60069,82.578,18.328,227.799,148.734,275.627,36.945,4.13,6.358,3.679,683,492,1.5015,6.956,8.495,1.221,81.27,4.548,21.09,16.701,2567,1884,0.7187,22.175,32.463,1.464
airplane_0037,airplane,train,130402,219562,251.488,57.93,451.38,361.819,503.78,43.239,2.987,7.6,3.561,766,571,1.7426,7.893,9.695,1.228,90.546,5.189,24.374,16.865,2976,2210,0.843,25.936,37.905,1.462
airplane_0046,airplane,train,37857,39534,49.216,16.192,185.447,112.513,232.552,33.414,2.767,6.526,3.015,578,410,1.2512,6.071,7.214,1.188,79.554,4.304,21.269,16.295,2097,1519,0.5795,18.56,27.435,1.478
airplane_0045,airplane,train,33190,45286,60.277,17.916,222.81,130.369,274.986,29.089,2.278,4.097,3.107,802,599,1.828,8.287,10.015,1.208,106.729,6.521,27.775,17.197,3008,2206,0.8415,27.411,39.212,1.431
airplane_0044,airplane,train,40916,52302,53.119,21.209,319.464,129.5,374.635,67.189,3.449,5.157,3.098,1280,941,2.8717,12.356,15.541,1.258,163.756,10.741,26.918,19.998,4721,3441,1.3126,39.569,58.51,1.479
airplane_0049,airplane,train,29437,33333,36.29,9.933,176.667,95.697,226.141,34.018,3.115,6.213,3.633,738,533,1.6266,7.528,9.073,1.205,87.53,5.781,23.458,16.17,2736,1998,0.7622,24.466,35.499,1.451
airplane_0047,airplane,train,45493,51312,64.529,19.385,274.533,137.495,328.114,39.58,3.015,4.121,3.908,917,666,2.0325,9.174,11.03,1.202,140.175,7.849,28.271,17.281,4004,3087,1.1776,35.7,49.672,1.391
airplane_0053,airplane,train,9691,9396,15.302,7.688,167.404,77.674,222.088,25.929,2.716,8.066,4.17,663,464,1.416,6.449,8.083,1.253,109.466,6.303,25.057,17.391,2837,2174,0.8293,22.665,33.93,1.497
airplane_0052,airplane,train,13524,16066,19.651,8.959,202.503,81.675,255.568,37.195,3.036,5.891,3.387,890,640,1.9531,8.864,10.967,1.237,128.43,5.232,26.158,17.629,3342,2452,0.9354,29.577,43.754,1.479
airplane_0036,airplane,train,370568,411428,585.408,114.535,846.729,753.402,900.188,37.298,2.628,5.098,3.214,740,524,1.5991,7.455,9.039,1.212,101.025,5.835,26.111,19.036,2680,1940,0.7401,24.218,35.5,1.466
airplane_0054,airplane,train,46268,52561,65.95,16.209,279.16,144.791,341.792,38.529,2.647,7.068,3.305,917,671,2.0477,8.908,10.942,1.228,149.667,6.158,30.3,21.959,3700,2783,1.0616,29.982,43.615,1.455
airplane_0058,airplane,train,6617,6142,9.684,5.682,174.676,72.309,231.62,31.999,2.543,4.113,3.743,508,346,1.0559,4.724,5.812,1.23,119.436,5.333,30.736,18.352,1894,1386,0.5287,11.919,20.525,1.722
airplane_0051,airplane,train,85406,101441,115.609,31.72,427.081,211.195,490.947,49.784,3.815,7.729,3.488,1270,927,2.829,12.084,14.788,1.224,213.934,12.219,31.997,20.652,4756,3486,1.3298,39.992,58.189,1.455
airplane_0057,airplane,train,77064,81150,104.757,24.861,326.96,183.08,380.422,36.901,3.144,4.127,3.399,780,559,1.7059,7.78,9.463,1.216,149.412,7.885,28.035,17.901,2924,2144,0.8179,25.128,36.069,1.435
airplane_0055,airplane,train,119464,123442,175.961,36.913,401.644,270.983,459.753,33.553,2.964,6.613,3.478,690,492,1.5015,6.881,8.465,1.23,144.366,7.887,31.2,16.818,2659,1969,0.7511,22.375,33.731,1.508
airplane_0048,airplane,train,253964,412620,487.363,129.248,735.079,667.397,785.865,32.277,3.177,5.825,3.796,578,402,1.2268,5.927,7.318,1.235,78.377,4.637,24.361,16.804,2045,1467,0.5596,17.467,27.456,1.572
airplane_0059,airplane,train,66227,83739,112.351,35.811,357.346,201.048,410.232,58.414,3.676,5.513,3.868,922,670,2.0447,8.988,11.045,1.229,141.379,5.715,26.91,16.595,3427,2505,0.9556,28.279,41.411,1.464
airplane_0056,airplane,train,127591,142019,184.162,51.264,473.564,288.735,526.874,59.774,5.72,7.931,5.509,974,707,2.1576,9.622,11.673,1.213,164.115,8.53,23.249,16.621,4005,3031,1.1562,36.454,50.611,1.388
airplane_0062,airplane,train,25422,27470,45.603,15.259,147.618,112.252,199.008,24.741,2.37,4.285,2.652,510,354,1.0803,5.414,6.511,1.203,55.369,4.276,28.325,16.128,1821,1311,0.5001,16.142,24.862,1.54
airplane_0063,airplane,train,30108,34472,54.551,12.48,167.734,110.991,211.694,27.197,2.535,6.743,2.847,557,382,1.1658,5.689,6.944,1.221,66.48,4.491,19.038,15.332,2090,1533,0.5848,18.016,27.78,1.542
airplane_0060,airplane,train,65714,66044,108.405,26.174,276.481,187.605,329.507,38.48,2.499,6.533,3.12,677,484,1.4771,6.548,7.999,1.222,95.433,5.49,26.746,16.627,2653,1976,0.7538,20.612,31.894,1.547
airplane_0064,airplane,train,20889,24430,36.149,11.672,172.69,100.878,225.747,29.183,1.85,4.673,2.925,640,461,1.4069,6.674,8.298,1.243,86.529,7.307,27.934,17.525,2517,1877,0.716,22.967,34.35,1.496
airplane_0065,airplane,train,26870,30415,45.739,15.453,228.781,111.805,279.394,40.292,3.497,4.864,3.911,996,721,2.2003,9.829,12.352,1.257,115.088,8.712,20.826,21.012,3885,2889,1.1021,34.153,50.28,1.472
airplane_0067,airplane,train,3795,3540,5.431,5.804,175.826,67.491,232.083,35.301,2.316,7.785,3.705,749,536,1.6357,6.555,8.119,1.239,119.39,7.585,27.681,17.086,2982,2233,0.8518,18.208,29.246,1.606
airplane_0069,airplane,train,4578,6145,6.507,4.559,177.225,65.359,231.517,33.499,2.22,5.582,3.195,836,621,1.8951,8.509,10.383,1.22,123.249,7.19,27.433,18.082,3204,2368,0.9033,26.697,39.393,1.476
airplane_0066,airplane,train,46795,55050,81.252,20.555,269.352,153.948,321.494,32.135,2.287,4.257,2.937,739,532,1.6235,7.464,9.352,1.253,127.304,5.82,24.939,20.009,2576,1837,0.7008,21.884,33.735,1.542
airplane_0070,airplane,train,50354,54895,69.397,21.945,220.63,143.711,272.999,33.425,3.674,5.743,4.4,605,426,1.3,6.312,7.703,1.22,88.183,4.006,25.352,16.874,2193,1588,0.6058,20.189,29.958,1.484
airplane_0072,airplane,train,50940,60032,83.612,22.784,240.999,157.607,292.21,33.377,2.129,3.961,2.922,757,545,1.6632,7.637,9.359,1.226,93.009,6.088,27.164,17.164,2710,1953,0.745,23.424,34.323,1.465
airplane_0073,airplane,train,24131,27000,35.55,11.75,202.894,102.484,258.079,36.095,2.383,5.437,3.954,877,625,1.9073,8.331,10.076,1.209,110.253,6.864,27.318,18.476,3266,2389,0.9113,25.181,37.311,1.482
airplane_0071,airplane,train,121844,105487,149.656,26.572,362.235,231.534,417.54,32.547,2.089,6.331,3.715,833,612,1.8677,8.28,10.073,1.217,143.637,7.733,27.305,17.954,3413,2580,0.9842,27.683,40.764,1.473
airplane_0075,airplane,train,21259,14549,25.218,9.555,186.418,91.431,243.076,34.206,2.443,4.464,3.592,760,553,1.6876,7.046,8.591,1.219,106.819,8.177,30.817,17.785,2867,2107,0.8038,19.869,31.524,1.587
airplane_0074,airplane,train,36824,39799,49.946,13.266,193.03,121.271,251.089,30.28,3.036,6.394,3.268,627,450,1.3733,6.511,7.929,1.218,90.289,6.213,31.487,16.91,2310,1683,0.642,20.582,30.392,1.477
airplane_0076,airplane,train,10752,10946,16.564,7.44,201.08,79.776,256.852,37.707,3.124,5.504,3.136,793,580,1.77,7.719,9.552,1.237,128.408,7.837,27.222,19.91,3210,2417,0.922,23.169,34.954,1.509
airplane_0077,airplane,train,47880,46457,69.75,19.11,291.115,149.881,352.136,45.209,3.79,6.669,3.352,867,592,1.8066,8.378,10.091,1.204,144.249,9.007,30.028,20.972,3466,2599,0.9914,31.22,44.303,1.419
airplane_0079,airplane,train,42744,46554,69.259,19.029,268.277,142.478,322.467,35.271,2.615,4.811,3.919,625,442,1.3489,6.404,7.829,1.222,138.347,3.756,28.17,17.29,2285,1660,0.6332,19.221,28.9,1.504
airplane_0080,airplane,train,46475,51240,71.93,18.751,244.716,147.601,301.636,34.585,3.859,6.728,4.015,606,429,1.3092,6.331,7.616,1.203,110.055,5.536,28.393,17.784,2338,1732,0.6607,21.248,30.903,1.454
airplane_0078,airplane,train,40266,40902,61.86,18.411,314.224,132.744,366.697,41.649,3.651,5.795,3.888,843,623,1.9012,8.565,10.42,1.217,179.559,9.094,26.331,16.459,3335,2492,0.9506,29.11,41.854,1.438
airplane_0082,airplane,train,37007,41235,59.575,16.197,235.21,128.788,288.227,41.563,3.801,6.793,4.658,606,419,1.2787,6.188,7.782,1.258,107.47,6.605,25.653,15.913,2357,1751,0.668,19.644,30.447,1.55
airplane_0068,airplane,train,288372,329096,469.101,98.008,789.163,621.146,843.2,59.453,4.989,7.25,4.074,953,703,2.1454,9.034,10.639,1.178,149.418,8.194,25.975,16.738,3662,2709,1.0334,29.277,42.86,1.464
airplane_0083,airplane,train,44509,60522,78.082,25.889,298.985,150.296,345.31,52.408,3.029,4.831,3.733,1021,760,2.3193,10.157,12.284,1.209,131.788,7.789,20.161,17.6,3981,2960,1.1292,34.446,49.328,1.432
airplane_0081,airplane,train,129654,143448,204.923,44.958,411.223,305.403,466.746,39.125,2.45,6.64,3.361,817,588,1.7944,8.225,10.111,1.229,115.004,4.764,27.699,17.823,3059,2242,0.8553,26.965,38.694,1.435
airplane_0085,airplane,train,24884,28090,31.339,10.859,158.197,96.006,212.004,28.428,2.23,6.977,3.009,606,430,1.3123,6.33,7.947,1.255,80.873,4.467,26.872,16.949,2397,1791,0.6832,21.952,33.191,1.512
airplane_0084,airplane,train,61460,69754,85.304,26.294,268.815,168.019,325.236,39.289,3.286,5.984,3.078,819,580,1.77,8.1,9.953,1.229,107.462,7.18,28.712,18.647,2943,2124,0.8102,25.994,37.928,1.459
airplane_0087,airplane,train,67442,82020,97.818,19.66,195.002,172.362,249.886,20.073,2.247,4.697,4.024,377,232,0.708,4.044,5.056,1.25,51.828,3.376,29.285,16.878,1152,775,0.2956,10.408,18.017,1.731
airplane_0090,airplane,train,24297,25027,38.877,12.908,128.704,98.706,175.625,26.12,2.228,4.055,2.618,382,258,0.7874,4.254,5.093,1.197,44.506,4.065,25.125,15.123,1370,988,0.3769,12.776,20.724,1.622
airplane_0088,airplane,train,73304,93533,104.045,31.342,294.28,188.215,347.108,42.035,2.909,6.594,3.519,773,555,1.6937,7.555,9.28,1.228,109.039,4.91,26.0,16.715,2813,2040,0.7782,24.471,35.908,1.467
airplane_0089,airplane,train,83326,77456,101.173,21.011,236.68,173.837,288.334,29.796,2.685,7.708,3.743,543,353,1.0773,5.393,6.563,1.217,78.752,3.264,23.825,16.378,1784,1241,0.4734,14.102,21.823,1.548
airplane_0086,airplane,train,149524,242537,250.142,62.672,488.286,367.798,543.27,31.502,2.774,4.555,3.538,749,520,1.5869,7.468,8.985,1.203,133.544,7.652,28.698,18.193,2728,1979,0.7549,23.852,34.329,1.439
airplane_0092,airplane,train,56806,59779,91.764,20.461,294.772,169.872,352.418,33.509,2.793,6.971,3.388,757,545,1.6632,7.534,9.15,1.215,138.451,7.793,28.871,18.416,2843,2086,0.7957,22.593,33.552,1.485
airplane_0096,airplane,train,8944,6812,14.564,7.956,140.512,82.652,200.643,35.933,3.039,9.186,4.745,395,257,0.7843,4.19,5.018,1.197,73.544,5.475,28.617,17.583,1434,1039,0.3963,11.661,18.767,1.609
airplane_0093,airplane,train,59968,74667,86.361,20.92,319.008,163.448,375.174,40.209,3.86,7.738,3.967,793,561,1.712,7.784,9.374,1.204,160.588,7.069,26.429,18.032,2936,2143,0.8175,25.235,36.543,1.448
airplane_0091,airplane,train,124510,168288,224.705,57.635,452.619,342.924,513.203,36.795,3.283,7.796,4.357,624,439,1.3397,6.432,7.729,1.202,123.367,6.834,28.138,20.293,2201,1577,0.6016,19.777,29.466,1.49
airplane_0097,airplane,train,34603,36760,59.483,19.393,305.058,137.42,363.602,52.599,3.374,6.896,4.007,1036,753,2.298,10.155,12.588,1.24,161.299,8.91,29.264,18.377,3963,2927,1.1166,35.259,51.161,1.451
airplane_0098,airplane,train,22702,30240,38.817,15.31,179.167,111.74,236.78,29.97,2.488,6.861,3.659,482,337,1.0284,5.22,6.617,1.268,87.077,5.505,29.295,17.798,2003,1521,0.5802,18.464,28.423,1.539
airplane_0094,airplane,train,140914,167810,241.115,55.479,476.368,353.857,533.631,40.712,2.965,6.993,3.955,805,568,1.7334,8.029,9.819,1.223,129.132,6.965,28.234,18.081,3016,2211,0.8434,27.552,40.088,1.455
airplane_0095,airplane,train,118321,137439,214.385,47.12,447.707,318.825,505.027,39.393,3.249,6.17,3.674,797,581,1.7731,8.117,9.928,1.223,135.368,8.192,29.585,17.891,2922,2125,0.8106,26.147,37.71,1.442
airplane_0099,airplane,train,36503,37467,61.658,17.151,225.241,135.92,282.352,37.826,2.852,6.643,3.987,740,531,1.6205,7.354,9.056,1.231,98.515,7.239,28.595,17.886,2774,2034,0.7759,22.448,33.862,1.508
airplane_0100,airplane,train,45793,37529,55.977,17.188,252.417,127.976,307.228,42.342,3.106,6.469,3.965,858,608,1.8555,8.486,10.335,1.218,126.321,7.483,27.129,17.248,3389,2531,0.9655,30.169,43.506,1.442
airplane_0103,airplane,train,21982,26732,38.007,14.207,160.751,106.584,215.122,24.509,2.027,5.611,3.662,355,226,0.6897,3.919,4.896,1.249,76.809,5.193,27.941,17.157,1335,980,0.3738,12.7,21.022,1.655
airplane_0104,airplane,train,29184,36465,46.153,16.534,173.36,119.758,230.431,22.831,2.971,6.931,4.754,451,291,0.8881,4.729,5.714,1.208,80.298,4.573,27.974,17.412,1697,1246,0.4753,15.627,24.294,1.555
airplane_0102,airplane,train,35980,37324,56.667,17.442,252.843,131.962,310.696,41.183,2.66,6.726,3.513,855,601,1.8341,8.401,10.443,1.243,127.072,7.819,29.014,18.6,3254,2399,0.9151,29.001,42.859,1.478
airplane_0101,airplane,train,38535,51221,77.188,21.148,364.102,160.194,425.96,62.181,3.926,7.159,4.639,1364,1001,3.0548,13.072,16.145,1.235,188.03,11.629,30.972,19.088,5115,3751,1.4309,44.003,63.798,1.45
airplane_0105,airplane,train,46709,50639,70.695,19.773,212.737,145.003,267.273,24.544,2.163,6.12,4.298,535,370,1.1292,5.673,6.762,1.192,90.493,5.07,26.193,17.925,1997,1462,0.5577,18.576,27.669,1.489
airplane_0106,airplane,train,59859,66350,88.733,27.909,270.474,174.124,327.956,35.936,2.905,7.036,3.787,591,418,1.2756,6.088,7.593,1.247,109.733,5.258,28.293,18.366,2263,1672,0.6378,20.425,30.617,1.499
airplane_0108,airplane,train,59831,63735,96.569,24.584,252.87,174.618,306.335,32.882,3.089,6.531,3.69,553,385,1.1749,5.817,7.28,1.251,89.996,5.75,26.954,16.29,2080,1527,0.5825,18.889,29.366,1.555
airplane_0107,airplane,train,50724,64031,84.459,27.773,292.045,171.855,351.668,37.254,3.631,7.635,5.732,711,502,1.532,7.05,8.789,1.247,132.045,6.883,26.865,19.391,2634,1923,0.7336,22.665,33.485,1.477
airplane_0109,airplane,train,10553,12296,18.92,9.198,213.886,92.788,278.555,43.696,3.501,7.854,4.973,874,610,1.8616,8.413,10.231,1.216,131.119,7.451,30.84,21.002,3265,2391,0.9121,27.276,39.781,1.458
airplane_0061,airplane,train,1240160,1111568,1770.459,295.227,2232.93,2129.127,2296.371,39.673,3.113,7.976,4.083,735,538,1.6418,7.218,8.648,1.198,117.956,6.502,30.503,20.879,2922,2187,0.8343,21.457,31.419,1.464
airplane_0110,airplane,train,41862,51866,78.603,23.092,286.349,163.436,348.09,32.959,3.038,6.184,3.77,644,453,1.3824,6.646,8.246,1.241,142.041,6.616,31.336,20.451,2362,1718,0.6554,20.577,30.842,1.499
airplane_0113,airplane,train,17250,18682,35.074,9.65,224.229,111.097,290.602,36.78,2.264,8.596,5.188,642,457,1.3947,6.526,7.815,1.198,135.341,5.12,33.06,19.529,2253,1611,0.6145,19.1,28.564,1.496
airplane_0112,airplane,train,51327,57112,86.552,23.401,350.783,162.48,403.31,44.45,3.703,6.204,3.8,869,618,1.886,8.395,10.28,1.225,184.356,8.321,25.158,17.365,3371,2502,0.9544,27.286,39.828,1.46
airplane_0111,airplane,train,123930,133956,198.806,52.399,410.71,310.582,470.088,47.643,4.546,9.986,5.488,733,534,1.6296,7.539,9.405,1.248,99.99,7.327,26.457,17.447,2681,1948,0.7431,24.253,35.774,1.475
airplane_0116,airplane,train,71576,65918,110.653,32.371,280.357,197.12,334.453,36.757,2.275,6.823,3.557,636,431,1.3153,6.303,7.714,1.224,90.843,7.458,26.192,17.524,2488,1852,0.7065,20.955,31.701,1.513
airplane_0118,airplane,train,26930,33224,52.493,17.813,240.692,127.815,298.202,54.45,3.288,6.593,3.676,794,573,1.7487,7.762,9.519,1.226,105.829,6.82,30.214,17.027,3025,2231,0.8511,25.592,37.153,1.452
airplane_0115,airplane,train,65648,74006,113.672,36.802,307.453,202.914,359.893,37.487,2.548,4.382,3.582,657,464,1.416,6.557,8.117,1.238,110.935,6.009,26.522,17.954,2397,1740,0.6638,20.729,31.245,1.507
airplane_0117,airplane,train,70561,74089,124.188,29.868,261.973,209.245,317.162,28.305,2.485,7.601,3.177,474,312,0.9521,4.927,5.989,1.216,72.524,4.603,27.611,16.8,1736,1262,0.4814,15.746,24.392,1.549
airplane_0119,airplane,train,33983,37766,56.473,12.625,214.545,125.943,271.39,32.232,3.115,6.551,3.839,694,494,1.5076,7.003,8.477,1.21,103.237,6.863,28.678,17.777,2610,1916,0.7309,21.956,31.928,1.454
airplane_0120,airplane,train,45741,53485,79.774,21.545,260.249,161.159,320.088,36.992,2.327,4.643,3.576,753,530,1.6174,7.568,9.382,1.24,113.193,6.417,30.438,21.182,2715,1962,0.7484,24.521,36.67,1.495
airplane_0114,airplane,train,217477,227591,359.248,67.814,579.184,486.107,638.229,36.054,2.901,6.894,3.659,638,448,1.3672,6.459,8.233,1.275,106.576,6.591,29.985,18.507,2336,1698,0.6477,20.561,32.067,1.56
