nombre,clase,split,n_vertices,n_caras,t_preproceso_ms,t_muestreo_ms,t_total_ms,t_total_denso_ms,t_total_experimento_ms,t_arbol_32_ms,t_guardado_32_ms,t_denso_directo_32_ms,t_guardado_denso_32_ms,nodos_totales_32,hojas_ocupadas_32,ocup_hoja_pct_32,tam_npz_disperso_kib_32,tam_npz_denso_kib_32,factor_reduccion_almacenamiento_32,t_arbol_64_ms,t_guardado_64_ms,t_denso_directo_64_ms,t_guardado_denso_64_ms,nodos_totales_64,hojas_ocupadas_64,ocup_hoja_pct_64,tam_npz_disperso_kib_64,tam_npz_denso_kib_64,factor_reduccion_almacenamiento_64
night_stand_0223,night_stand,test,862,696,10.77,4.025,469.491,65.039,519.736,100.241,5.857,6.329,2.867,2579,1976,6.0303,5.49,6.011,1.095,335.761,12.838,24.326,16.723,9929,7350,2.8038,12.382,19.068,1.54
night_stand_0222,night_stand,test,1142,792,11.681,4.094,613.964,60.133,658.322,121.226,6.886,5.858,3.09,3880,3216,9.8145,5.781,6.917,1.196,454.113,15.964,17.549,17.861,14268,10388,3.9627,16.129,24.859,1.541
night_stand_0224,night_stand,test,176,104,10.992,4.039,549.666,62.676,597.312,116.231,6.175,6.206,2.988,3280,2582,7.8796,4.621,5.119,1.108,389.537,22.693,21.121,17.331,12090,8810,3.3607,11.32,19.247,1.7
night_stand_0227,night_stand,test,3106,3290,15.059,3.561,438.099,69.547,489.026,84.442,6.173,6.585,2.861,2464,1853,5.6549,6.532,7.281,1.115,311.067,17.797,23.266,18.215,9583,7119,2.7157,14.307,21.696,1.517
night_stand_0226,night_stand,test,262,184,10.795,3.94,639.689,66.061,691.015,134.626,7.28,6.377,2.905,3905,3014,9.198,4.265,4.162,0.976,458.477,24.571,24.946,17.098,13762,9857,3.7601,12.016,18.781,1.563
night_stand_0220,night_stand,test,1204,1244,43.104,4.071,1060.458,99.0,1112.283,228.21,12.72,6.316,3.95,7282,5787,17.6605,12.026,13.957,1.161,733.176,39.177,23.669,17.89,21114,13832,5.2765,27.488,43.766,1.592
night_stand_0230,night_stand,test,786,740,10.215,3.796,490.009,55.319,531.317,102.577,3.804,5.191,2.804,2945,2228,6.7993,3.757,3.937,1.048,352.671,16.946,18.291,15.022,10763,7818,2.9823,8.668,14.683,1.694
night_stand_0225,night_stand,test,2153,1316,13.757,5.414,951.419,72.308,1004.556,218.203,11.796,5.807,4.183,7046,5633,17.1906,11.191,14.085,1.259,664.265,37.984,22.235,20.912,20377,13331,5.0854,25.366,41.685,1.643
night_stand_0228,night_stand,test,247,154,9.502,3.785,886.565,64.586,937.864,172.891,11.89,4.453,3.264,6053,4669,14.2487,6.515,6.677,1.025,654.271,34.226,25.476,18.106,18507,12454,4.7508,18.876,29.266,1.55
night_stand_0231,night_stand,test,567,510,12.263,4.031,647.058,70.312,701.076,124.698,8.494,5.643,2.945,4117,3174,9.6863,5.111,5.453,1.067,472.198,25.374,26.984,18.446,15367,11250,4.2915,15.18,24.185,1.593
night_stand_0229,night_stand,test,2099,1286,12.674,4.67,919.231,70.527,972.414,199.33,7.543,5.706,3.389,6307,5011,15.2924,10.73,13.442,1.253,662.4,32.614,26.934,17.154,19399,13092,4.9942,24.995,41.498,1.66
night_stand_0235,night_stand,test,1671,1157,13.649,5.244,556.65,62.885,600.642,119.494,7.887,3.936,2.554,3666,2790,8.5144,6.044,6.588,1.09,392.69,17.686,19.733,17.769,13609,9943,3.793,15.918,24.743,1.554
night_stand_0238,night_stand,test,1456,1238,16.53,3.558,317.608,65.717,363.237,61.446,4.473,5.731,2.99,1590,1189,3.6285,5.753,6.745,1.172,221.678,9.923,22.396,14.512,6503,4913,1.8742,8.966,16.198,1.807
night_stand_0232,night_stand,test,468,280,12.671,3.213,854.39,66.224,904.73,174.774,6.265,4.498,3.327,5571,4448,13.5742,7.034,7.799,1.109,628.514,28.953,23.885,18.63,18165,12594,4.8042,20.33,31.35,1.542
night_stand_0236,night_stand,test,288,188,11.133,3.49,612.306,62.87,660.554,155.832,5.144,5.592,2.4,4316,3243,9.8969,5.062,5.404,1.068,410.341,26.367,22.807,17.449,13390,9074,3.4615,12.911,21.081,1.633
night_stand_0234,night_stand,test,104,64,10.229,4.326,900.039,63.604,949.088,187.523,7.66,4.28,3.166,6144,4647,14.1815,6.281,6.875,1.095,658.113,32.188,22.659,18.944,18598,12454,4.7508,18.976,31.234,1.646
night_stand_0241,night_stand,test,174,108,10.599,3.53,380.967,64.118,430.955,64.505,4.077,5.781,2.855,2238,1735,5.2948,4.028,4.401,1.093,282.915,15.34,26.666,14.686,8545,6307,2.4059,6.996,13.229,1.891
night_stand_0233,night_stand,test,919,448,14.56,4.051,998.335,74.303,1054.027,223.314,13.171,3.54,2.951,7384,5906,18.0237,8.748,9.994,1.142,703.169,40.07,28.439,20.762,21622,14238,5.4314,24.67,40.379,1.637
night_stand_0237,night_stand,test,4307,5037,17.62,4.749,931.497,71.011,980.14,183.482,10.582,6.283,2.874,5949,4926,15.033,9.669,10.614,1.098,681.175,33.89,21.6,17.886,20263,14314,5.4604,25.658,39.25,1.53
night_stand_0239,night_stand,test,1467,870,13.809,3.383,737.058,66.542,786.408,148.754,6.39,6.217,3.708,4772,3601,10.9894,7.099,8.646,1.218,533.189,31.533,20.274,19.151,16570,11798,4.5006,19.719,32.569,1.652
night_stand_0245,night_stand,test,3378,2263,22.345,4.676,536.628,79.128,588.735,103.777,6.882,5.012,2.79,2927,2411,7.3578,8.004,10.372,1.296,377.728,21.22,24.062,20.243,11977,9050,3.4523,17.1,27.105,1.585
night_stand_0243,night_stand,test,288,192,9.71,4.535,606.163,64.306,656.224,115.876,6.966,5.304,3.203,3546,2707,8.2611,4.632,5.308,1.146,443.188,25.888,25.482,16.072,12545,8999,3.4328,12.393,20.807,1.679
night_stand_0249,night_stand,test,2600,1640,14.77,5.07,238.486,70.038,288.684,45.401,3.725,5.434,2.955,1308,953,2.9083,6.346,7.432,1.171,159.694,9.826,25.157,16.652,5916,4608,1.7578,12.216,19.715,1.614
