nombre,clase,split,n_vertices,n_caras,t_preproceso_ms,t_muestreo_ms,t_total_ms,t_arbol_32_ms,t_guardado_32_ms,t_guardado_denso_32_ms,nodos_totales_32,hojas_ocupadas_32,ocup_hoja_pct_32,tam_npz_disperso_kib_32,tam_npz_denso_kib_32,factor_reduccion_almacenamiento_32,t_arbol_64_ms,t_guardado_64_ms,t_guardado_denso_64_ms,nodos_totales_64,hojas_ocupadas_64,ocup_hoja_pct_64,tam_npz_disperso_kib_64,tam_npz_denso_kib_64,factor_reduccion_almacenamiento_64
bed_0545,bed,test,669,580,20.614,4.194,424.515,62.513,5.509,3.46,2314,1864,5.6885,8.646,10.153,1.174,319.869,11.815,15.554,9144,6830,2.6054,16.854,31.455,1.866
bed_0551,bed,test,938,662,18.684,4.577,282.524,39.171,4.096,2.885,1641,1312,4.0039,5.448,5.988,1.099,204.787,11.209,15.911,6745,5104,1.947,11.024,19.978,1.812
bed_0548,bed,test,7192,7156,24.703,6.508,425.734,76.721,4.253,3.431,2562,1932,5.896,8.09,9.422,1.165,297.75,15.799,15.379,10059,7497,2.8599,19.537,33.701,1.725
bed_0553,bed,test,435,428,11.647,3.771,241.792,49.02,3.98,2.565,1307,971,2.9633,5.483,6.259,1.141,162.296,11.077,15.948,5311,4004,1.5274,11.149,21.725,1.948
bed_0550,bed,test,288,310,12.332,3.85,399.976,65.241,5.335,3.384,2224,1725,5.2643,6.244,7.852,1.257,296.519,16.699,16.849,8747,6523,2.4883,13.355,26.267,1.967
bed_0554,bed,test,484,372,12.771,3.735,340.37,63.481,5.023,3.407,1816,1462,4.4617,3.602,4.451,1.236,245.909,9.451,17.111,7771,5955,2.2717,8.521,16.729,1.963
bed_0557,bed,test,7668,7124,39.85,4.56,236.727,34.714,2.425,2.611,968,714,2.179,5.317,5.921,1.113,146.317,8.861,16.413,4540,3572,1.3626,12.454,19.577,1.572
bed_0549,bed,test,20770,37260,41.47,15.393,565.839,127.192,4.875,3.602,2936,2264,6.9092,17.518,20.902,1.193,355.885,21.024,18.068,11232,8296,3.1647,47.779,71.001,1.486
bed_0552,bed,test,1254,1282,16.526,5.177,506.844,119.161,7.115,3.6,3112,2358,7.196,9.069,10.481,1.156,343.216,15.648,18.289,11226,8114,3.0952,21.641,35.711,1.65
bed_0558,bed,test,3590,4557,16.219,3.615,228.756,81.151,2.231,2.217,1108,814,2.4841,3.274,3.594,1.098,119.484,6.056,13.347,4329,3221,1.2287,4.807,12.749,2.652
bed_0555,bed,test,17732,7392,29.66,6.834,407.983,69.343,4.485,2.639,2275,1749,5.3375,8.253,9.26,1.122,286.525,11.136,17.918,9089,6814,2.5993,19.917,31.444,1.579
bed_0560,bed,test,11226,17388,37.431,7.943,344.933,59.434,4.374,2.839,1583,1214,3.7048,11.493,13.759,1.197,227.366,8.385,17.247,6383,4800,1.8311,32.857,50.024,1.522
bed_0562,bed,test,29371,56903,67.932,20.837,254.119,31.362,4.83,3.367,981,734,2.24,5.311,5.974,1.125,124.17,4.989,13.147,3842,2861,1.0914,11.296,18.86,1.67
bed_0564,bed,test,765,580,16.965,3.479,250.474,46.819,3.599,2.736,1323,996,3.0396,6.155,6.954,1.13,169.779,9.834,14.611,5666,4343,1.6567,10.458,21.771,2.082
bed_0561,bed,test,2059,2542,12.089,5.482,367.913,82.031,5.002,3.144,1924,1426,4.3518,9.339,10.531,1.128,250.703,12.606,17.322,7236,5312,2.0264,20.495,34.036,1.661
bed_0556,bed,test,13704,25238,28.944,7.772,566.054,107.514,14.564,4.025,3028,2408,7.3486,17.25,20.217,1.172,386.135,21.125,16.368,11521,8493,3.2398,45.883,71.628,1.561
bed_0559,bed,test,2779,1681,12.456,4.804,535.924,105.605,6.946,2.915,2983,2264,6.9092,8.953,10.612,1.185,384.049,22.064,17.909,10308,7325,2.7943,18.626,34.332,1.843
bed_0566,bed,test,7580,8707,71.525,5.859,438.347,67.077,3.244,3.049,2165,1632,4.9805,7.794,9.121,1.17,278.832,11.81,15.077,8861,6696,2.5543,17.995,29.182,1.622
bed_0565,bed,test,7051,6976,17.561,4.443,482.587,95.807,5.579,3.144,2625,1979,6.0394,7.883,9.113,1.156,340.262,18.934,15.695,9895,7270,2.7733,16.939,30.228,1.784
bed_0568,bed,test,12721,19570,29.737,8.829,344.473,72.679,3.864,3.283,1828,1396,4.2603,8.643,10.052,1.163,221.155,8.209,14.216,7341,5513,2.103,21.312,33.959,1.593
bed_0567,bed,test,6050,7634,37.781,6.475,498.019,107.409,6.579,2.759,2783,2151,6.5643,10.97,13.235,1.207,319.464,20.311,18.507,10757,7974,3.0418,29.017,51.061,1.76
bed_0570,bed,test,4600,6162,31.099,4.25,340.635,64.937,3.413,3.631,1703,1304,3.9795,12.125,14.492,1.195,223.313,13.623,17.32,7012,5309,2.0252,31.772,50.782,1.598
bed_0569,bed,test,16435,30893,37.238,9.628,413.269,62.352,3.977,3.31,2239,1692,5.1636,13.47,15.554,1.155,288.458,11.616,15.601,8552,6313,2.4082,37.263,59.49,1.597
bed_0572,bed,test,281,212,10.807,3.481,378.381,74.158,3.471,3.296,2104,1573,4.8004,5.825,6.868,1.179,274.44,12.024,15.739,9061,6957,2.6539,11.078,22.457,2.027
bed_0573,bed,test,4266,5964,27.319,5.94,343.642,77.222,3.022,2.339,1765,1412,4.3091,6.727,7.447,1.107,215.097,15.042,16.053,7145,5380,2.0523,12.838,23.434,1.825
bed_0571,bed,test,15282,29288,36.345,13.519,484.862,112.941,4.931,3.725,2721,2065,6.3019,16.299,18.974,1.164,303.08,14.046,18.425,10043,7322,2.7931,45.14,68.623,1.52
bed_0563,bed,test,2024,1588,19.359,5.257,902.357,200.512,7.272,3.381,5803,4433,13.5284,12.346,14.845,1.202,638.901,31.056,19.482,18571,12768,4.8706,27.717,48.066,1.734
